,forest_clfs accuracy,forest_clfs perct acc > 0.8,knn_overlap mean_overlap_AUC,cluster_similarity nmi_5_20,cluster_similarity nmi_21_60,knn_overlap_X_id mean_overlap_AUC batch_mean,knn_overlap_X_id mean_overlap_AUC full
pseudo_9_HLCA_137,0.8981271722172529,0.8915506784417115,1.0,0.937447339229776,0.894113997763359,1.0,1.0
pseudo_9_HLCA_138,0.8981271722172529,0.8915506784417115,1.0,0.937447339229776,0.894113997763359,1.0,1.0
pseudo_9_HLCA_139,0.8981271722172529,0.8915506784417115,1.0,0.937447339229776,0.894113997763359,1.0,1.0
pseudo_9_HLCA_140,0.8981271722172529,0.8915506784417115,1.0,0.937447339229776,0.894113997763359,1.0,1.0
pseudo_9_HLCA_141,0.8981271722172529,0.8915506784417115,1.0,0.937447339229776,0.894113997763359,1.0,1.0
pseudo_9_HLCA_142,0.8981271722172529,0.8915506784417115,1.0,0.937447339229776,0.894113997763359,1.0,1.0
spapros_0_HLCA_61,0.6933581028631179,0.38519171329670326,,0.3721001756828969,0.4837684314944498,,
spapros_0_HLCA_62,0.7849804167644939,0.5643079475414545,,0.4849746012293147,0.5381474160819218,,
spapros_0_HLCA_63,0.7557996312254125,0.485809990744218,,0.4902822759808094,0.5293660140780282,,
spapros_0_HLCA_64,0.8061300934737333,0.6225576822280409,,0.6746402242079126,0.5986903987459747,,
spapros_0_HLCA_65,0.8366311845454568,0.6962721436365646,,0.7479393287327262,0.6352266641519042,,
spapros_0_HLCA_66,0.8087182722901678,0.636039969852931,,0.6360909712519787,0.5960343204114361,,
spapros_0_HLCA_67,0.7748759143941929,0.5578979333411257,,0.737808949119299,0.6260980233865079,,
